seed,mode,cum_fisher_van,steps_van,cum_fisher_nat,steps_nat,J0,Jfinal_van,Jfinal_nat
63,fixA,1.9599788723852736,25,1.5956746985097106,4,1.4484922273928853,0.013507561934287354,0.005658172763253458
64,fixA,2.1214397014433546,59,1.4534921446944322,4,1.2018570892449678,0.011739355816931054,0.0046947542548631555
65,fixA,0.8225391006816503,51,0.5812797160494635,4,0.1922196527163988,0.0019161566926688821,0.0007508580184234328
66,fixA,2.2977853912966286,30,1.727915736595262,4,1.6985274554445065,0.015877189362375296,0.006634872872830103
67,fixA,3.0836941029975726,44,2.2519577085587335,4,2.885013914246884,0.027396009523719518,0.01126958560252689
68,fixA,3.8535608789161526,33,3.174947378344538,4,5.7345654643239,0.05695167560814788,0.022400646345015235
69,fixA,6.052151424679483,8,4.803720134023136,4,13.127524765024289,0.1264512081817623,0.05127939361337613
70,fixA,6.789048980349259,18,5.148124845681661,4,15.077369984981235,0.1398586313827396,0.05889597650383295
71,fixA,1.5393533663257282,33,1.355440534192432,4,1.04517349929635,0.00968037699894824,0.004082708981626367
72,fixA,5.9620332987179685,18,4.5647435146172555,4,11.853871419301145,0.11479345356949192,0.0463041852316451
73,fixA,3.9884987045712124,16,3.107666058812253,4,5.494094696159961,0.054596035414562705,0.02146130740687485
74,fixA,3.0311304268372847,31,2.2831567831097304,4,2.9655067854278956,0.027973361857130674,0.011584010880577717
75,fixA,3.0256787363497124,33,2.1805529063231197,4,2.7049591337382135,0.025488344941110727,0.010566246616164897
76,fixA,4.663793638050135,20,3.573212666931116,4,7.263487296350991,0.06999718864307077,0.02837299725137106
77,fixA,2.9921756420792356,21,2.1962600691134337,4,2.744068716761398,0.026168939162826817,0.010719018424849212
78,fixA,3.2171490014675133,12,2.5458346926503723,4,3.687124925043038,0.034047638214069816,0.014402831738449367
79,fixA,1.952421133100884,51,1.6828159223117352,4,1.6110190525928647,0.01557555582706934,0.006293043174190878
80,fixA,4.074709000508556,36,3.2384820326673287,4,5.9663734760727385,0.05961426332324357,0.023306146390909135
81,fixA,3.998343732684394,26,3.0074508143515386,4,5.145463694645325,0.04938591011472701,0.0200994675572083
82,fixA,4.148801986417103,14,4.10341861747958,4,9.5789763414915,0.08895454382613562,0.037417876333951175
83,fixA,1.9481664876370082,37,1.5469418497158183,4,1.361367658042139,0.013452108405616137,0.0053178424142271054
84,fixA,6.322353978664118,25,4.848100551151472,4,13.37120936054056,0.1331584474561028,0.05223128656461156
85,fixA,2.8193752417933484,24,2.153782952594291,4,2.6389509728061338,0.023792300291823346,0.01030840223752396
86,fixA,6.769535619212918,7,5.904276605782266,4,19.831741006272143,0.17651916692995748,0.07746773830575056
87,fixA,4.749238235415986,27,3.563578101339184,4,7.2243705653158,0.07031930645641295,0.028220197520764843
88,fixA,4.92758657394759,20,3.683138622355858,4,7.717267974536197,0.07276983188676919,0.03014557802553202
89,fixA,4.474295614292533,5,3.910810376985743,4,8.700835728918399,0.08581815932356715,0.033987639566087496
90,fixA,1.5345999058335895,60,1.07538297286665,4,0.6578907240285947,0.0063757352465637716,0.002569885640736698
91,fixA,3.5801347554342375,34,2.6935978091746087,4,4.127555787429121,0.039838112338620106,0.016123264794645004
92,fixA,6.2212286855555,20,4.593562984878439,4,12.004022554194666,0.11364169694690311,0.046890713102322915
93,fixA,1.7943266592287292,20,1.3212502175340572,4,0.9931105492387806,0.009353376428181867,0.0038793380829639868
94,fixA,9.134325836476226,6,7.739864637297618,4,34.079575952321534,0.2682900620229309,0.133123343563756
95,fixA,8.393867767374758,10,6.64970887880933,4,25.155486249480894,0.20823213464569057,0.09826361816203474
96,fixA,3.234778214948668,24,2.3750383120858753,4,3.2089924174937456,0.029490812127775056,0.012535126630834944
97,fixA,5.071094627537822,9,3.982175298051386,4,9.021280770509167,0.0795338218348879,0.03523937800980143
98,fixA,3.491609497250136,22,2.626218281067797,4,3.923639443805693,0.036270310290263015,0.015326716577365989
99,fixA,7.0066941071263855,6,5.887674254254591,4,19.72036728844081,0.18188261494230668,0.07703268472047191
