target,target_role,model_name,predictors,n_folds,mean_heldout_rmse,std_heldout_rmse,mean_heldout_r2,std_heldout_r2
V_T,within_step_population_risk_shift,mu_controlled:coarse,mu + A_rate_coarse_excess,4,3677.68776023625,2630.016232735565,-1295.3749324523424,1699.5847820004253
V_T,within_step_population_risk_shift,mu_controlled:task_no_qty,mu + A_rate_task_no_qty_excess,4,2620.4021341031757,1818.7884349744108,-485.38935026785873,554.352028231598
V_T,within_step_population_risk_shift,mu_controlled:task_no_cost,mu + A_rate_task_no_cost_excess,4,1894.8526905638796,2116.844316984373,-338.1901047516018,551.3421621204886
V_T,within_step_population_risk_shift,mu_controlled:task_no_group,mu + A_rate_task_no_group_excess,4,2307.272023638985,1829.5618283037331,-394.74373699174953,518.9518167850417
V_T,within_step_population_risk_shift,mu_controlled:task,mu + A_rate_task_excess,4,2427.5066052495854,1959.206780572203,-437.18199723981616,588.4525965072405
V_T,within_step_population_risk_shift,null_controlled:coarse,mu + A_rate_coarse_excess + A_rate_null_excess,4,3677.68776023625,2630.016232735565,-1295.3749324523424,1699.5847820004253
V_T,within_step_population_risk_shift,null_controlled:task_no_qty,mu + A_rate_task_no_qty_excess + A_rate_null_excess,4,2620.4021341031757,1818.7884349744108,-485.38935026785873,554.352028231598
V_T,within_step_population_risk_shift,null_controlled:task_no_cost,mu + A_rate_task_no_cost_excess + A_rate_null_excess,4,1894.8526905638796,2116.844316984373,-338.1901047516018,551.3421621204886
V_T,within_step_population_risk_shift,null_controlled:task_no_group,mu + A_rate_task_no_group_excess + A_rate_null_excess,4,2307.272023638985,1829.5618283037331,-394.74373699174953,518.9518167850417
V_T,within_step_population_risk_shift,null_controlled:task,mu + A_rate_task_excess + A_rate_null_excess,4,2427.5066052495854,1959.206780572203,-437.18199723981616,588.4525965072405
V_T,within_step_population_risk_shift,combined:task_coarse_null,mu + A_rate_task_excess + A_rate_coarse_excess + A_rate_null_excess,4,3710.5118449115776,2668.3677595027543,-1327.0411562910392,1756.6768108818774
V_T,within_step_population_risk_shift,combined:task_ablation_channels,mu + A_rate_task_excess + A_rate_task_no_qty_excess + A_rate_task_no_cost_excess + A_rate_task_no_group_excess + A_rate_null_excess,4,2082.4942374249586,2636.041357990567,-444.3759265668504,799.1383345311301
Delta_sam_T,same_time_sampling_gap,single_channel:null,A_rate_null_excess,4,2539.9748657299297,362.74250584291553,-0.1698958878220831,0.17267801455869614
Delta_sam_T,same_time_sampling_gap,single_channel:coarse,A_rate_coarse_excess,4,2543.004598469515,213.9898194540755,-0.18755703392571393,0.21948815687116266
Delta_sam_T,same_time_sampling_gap,single_channel:task_no_qty,A_rate_task_no_qty_excess,4,2523.9915601638477,213.37674555398766,-0.16671978594330272,0.18901500266987892
Delta_sam_T,same_time_sampling_gap,single_channel:task_no_cost,A_rate_task_no_cost_excess,4,2381.6920519276364,292.2553825107803,-0.02310180553880542,0.020561483830351574
Delta_sam_T,same_time_sampling_gap,single_channel:task_no_group,A_rate_task_no_group_excess,4,2404.10906532443,261.2781834290582,-0.045628122285977735,0.04040647601755664
Delta_sam_T,same_time_sampling_gap,single_channel:task,A_rate_task_excess,4,2413.2330044957084,285.02047431506884,-0.05164863980391604,0.03222690236353797
Delta_sam_T,same_time_sampling_gap,mu_controlled:null,mu + A_rate_null_excess,4,2357.2951127325205,273.3827980885742,-0.0032437420293663366,0.0035664025194888384
Delta_sam_T,same_time_sampling_gap,mu_controlled:coarse,mu + A_rate_coarse_excess,4,3088.529851150126,1231.6278687775907,-1.255682855090697,2.496831384769806
Delta_sam_T,same_time_sampling_gap,mu_controlled:task_no_qty,mu + A_rate_task_no_qty_excess,4,2488.2583863653163,176.17763364377538,-0.14141320728859869,0.2346901029925349
Delta_sam_T,same_time_sampling_gap,mu_controlled:task_no_cost,mu + A_rate_task_no_cost_excess,4,6085.2186946028105,7509.003252621093,-10.396019773454022,20.626017275284863
Delta_sam_T,same_time_sampling_gap,mu_controlled:task_no_group,mu + A_rate_task_no_group_excess,4,2457.9884381187176,160.71121326306675,-0.11071336404525434,0.19910026845728787
Delta_sam_T,same_time_sampling_gap,mu_controlled:task,mu + A_rate_task_excess,4,2994.3251565456667,871.5812663247282,-0.9212668965657222,1.6555603136457278
Delta_sam_T,same_time_sampling_gap,null_controlled:coarse,mu + A_rate_coarse_excess + A_rate_null_excess,4,3088.529851150126,1231.6278687775907,-1.255682855090697,2.496831384769806
Delta_sam_T,same_time_sampling_gap,null_controlled:task_no_qty,mu + A_rate_task_no_qty_excess + A_rate_null_excess,4,2488.2583863653163,176.17763364377538,-0.14141320728859869,0.2346901029925349
Delta_sam_T,same_time_sampling_gap,null_controlled:task_no_cost,mu + A_rate_task_no_cost_excess + A_rate_null_excess,4,6085.2186946028105,7509.003252621093,-10.396019773454022,20.626017275284863
Delta_sam_T,same_time_sampling_gap,null_controlled:task_no_group,mu + A_rate_task_no_group_excess + A_rate_null_excess,4,2457.9884381187176,160.71121326306675,-0.11071336404525434,0.19910026845728787
Delta_sam_T,same_time_sampling_gap,null_controlled:task,mu + A_rate_task_excess + A_rate_null_excess,4,2994.3251565456667,871.5812663247282,-0.9212668965657222,1.6555603136457278
Delta_sam_T,same_time_sampling_gap,combined:task_coarse_null,mu + A_rate_task_excess + A_rate_coarse_excess + A_rate_null_excess,4,3184.0407988603365,1372.4072852816707,-1.4589781268554551,2.8615417204954627
