mu,seed,target,excluded_initial_rounds,included_all_rounds,excluding_initial_rounds,excluded_minus_included,excluded_over_included
0.1,2,V_T,3,5595.48144100486,4908.625554933002,-686.8558860718585,0.8772481164822682
0.1,3,V_T,3,5314.813772485894,4274.2937363386445,-1040.5200361472498,0.8042226725734234
0.1,4,V_T,3,5471.6321335695075,4998.663124996896,-472.96900857261153,0.9135597940382622
0.1,5,V_T,3,6379.382014328173,5894.990666355632,-484.39134797254064,0.9240692363485066
0.1,6,V_T,3,5731.637517729373,4857.133520919699,-874.5039968096744,0.8474251042386025
0.1,7,V_T,3,6313.052529884368,5198.931832415627,-1114.1206974687411,0.8235210791934995
0.1,8,V_T,3,6591.1504204889825,5867.074091348422,-724.0763291405601,0.8901441655936533
0.1,9,V_T,3,6688.671836358498,6172.7910696325125,-515.8807667259853,0.9228724656632511
0.2,0,V_T,3,19312.616205910377,19759.9616525581,447.3454466477233,1.0231633788958545
0.2,1,V_T,3,18566.640893572003,18797.591979657784,230.95108608578084,1.012439034470998
0.2,2,V_T,3,16958.471357069862,15835.30341489047,-1123.1679421793924,0.9337695056039852
0.2,3,V_T,3,17338.77416277121,15455.026298241191,-1883.747864530018,0.8913563411781041
0.2,4,V_T,3,15545.843655189827,15075.540746450999,-470.3029087388277,0.9697473537512503
0.2,5,V_T,3,19815.813491536417,19251.380022430516,-564.4334691059012,0.9715160081948199
0.2,6,V_T,3,18900.434011177073,17933.2761315941,-967.1578795829737,0.948828800491511
0.2,7,V_T,3,21618.586885034794,19779.105511485774,-1839.4813735490206,0.9149120438199233
0.2,8,V_T,3,20683.989016464253,20094.412480867126,-589.5765355971271,0.9714959945527031
0.2,9,V_T,3,20853.37054082617,20806.850846862704,-46.519693963466125,0.9977692002416401
0.0,0,Eval_within_step_drift_T,3,1850.769853776088,1962.3350411486026,111.56518737251463,1.0602804217633492
0.0,1,Eval_within_step_drift_T,3,1552.2494863180787,1428.657545866543,-123.59194045153572,0.9203788169743933
0.0,2,Eval_within_step_drift_T,3,1560.3286480294191,1569.5139904196876,9.185342390268488,1.0058867998109686
0.0,3,Eval_within_step_drift_T,3,1667.4890507546493,1573.9955844604228,-93.49346629422644,0.9439315860863288
0.0,4,Eval_within_step_drift_T,3,1558.0701385433786,1717.569434152345,159.49929560896635,1.1023697789100049
0.0,5,Eval_within_step_drift_T,3,1238.849972512334,1188.7290673699645,-50.120905142369566,0.9595423931432742
0.0,6,Eval_within_step_drift_T,3,1658.1776831200573,1516.0137350939149,-142.1639480261424,0.9142649491225547
0.0,7,Eval_within_step_drift_T,3,1499.5115773056016,1455.5606188452803,-43.95095846032132,0.9706898171874774
0.0,8,Eval_within_step_drift_T,3,1429.7334451159052,1437.7831734115716,8.049728295666455,1.0056302301125886
0.0,9,Eval_within_step_drift_T,3,1413.1849017785128,1358.922745946933,-54.262155831579776,0.9616029326641615
0.05,0,Eval_within_step_drift_T,3,3083.518218592376,3029.548137118163,-53.97008147421275,0.9824972393064536
0.05,1,Eval_within_step_drift_T,3,4140.122214258633,3969.10262833042,-171.01958592821302,0.958692140695939
0.05,2,Eval_within_step_drift_T,3,3177.2505907158697,2978.0900323240276,-199.1605583918422,0.9373166979734611
0.05,3,Eval_within_step_drift_T,3,2887.765634684713,2205.5470561065413,-682.2185785781717,0.7637555588361808
0.05,4,Eval_within_step_drift_T,3,3381.166890163857,3139.2658471174873,-241.90104304636952,0.9284563433558742
0.05,5,Eval_within_step_drift_T,3,3111.9727855677575,2745.2596006310596,-366.71318493669787,0.8821605424580236
0.05,6,Eval_within_step_drift_T,3,3148.664640678019,2775.1060632603403,-373.55857741767886,0.881359680992499
0.05,7,Eval_within_step_drift_T,3,3316.0463959943336,3104.517393674563,-211.52900231977037,0.9362104816822557
0.05,8,Eval_within_step_drift_T,3,3103.5296597197826,2717.227921006732,-386.3017387130508,0.8755282594115985
0.05,9,Eval_within_step_drift_T,3,3192.4457234394904,3010.6680833954415,-181.7776400440489,0.9430600687399614
0.1,0,Eval_within_step_drift_T,3,6269.495754278504,5891.838674655064,-377.65707962344004,0.9397627665086599
0.1,1,Eval_within_step_drift_T,3,7000.772319828941,6344.337904212127,-656.4344156168145,0.9062340002462965
0.1,2,Eval_within_step_drift_T,3,5845.080804306539,5429.474607042408,-415.60619726413097,0.9288964154339969
0.1,3,Eval_within_step_drift_T,3,5633.591597564429,4338.642742368098,-1294.9488551963314,0.7701379603455499
0.1,4,Eval_within_step_drift_T,3,5639.564885785157,4889.422095234539,-750.142790550618,0.8669856973467234
0.1,5,Eval_within_step_drift_T,3,5889.398370277461,5158.697798283156,-730.7005719943054,0.8759295048400877
0.1,6,Eval_within_step_drift_T,3,5644.425134681343,4917.7217465338,-726.7033881475427,0.8712528962989659
0.1,7,Eval_within_step_drift_T,3,5958.583335907468,5127.875815519896,-830.707520387572,0.8605864056005422
0.1,8,Eval_within_step_drift_T,3,6587.863772610646,5797.78109239697,-790.0826802136762,0.8800699729860108
0.1,9,Eval_within_step_drift_T,3,6281.78183808496,5904.9697860114975,-376.81205207346284,0.9400151005262647
0.2,0,Eval_within_step_drift_T,3,19237.407563186855,19837.6008956097,600.1933324228448,1.0311992835028037
0.2,1,Eval_within_step_drift_T,3,19473.890232921203,20135.608604360186,661.718371438983,1.0339797730974332
0.2,2,Eval_within_step_drift_T,3,17004.969596082807,16282.229962122845,-722.7396339599618,0.9574983283635833
0.2,3,Eval_within_step_drift_T,3,17494.463403913687,15045.301578052018,-2449.161825861669,0.8600036040365909
0.2,4,Eval_within_step_drift_T,3,16473.87215057042,15518.522495040463,-955.3496555299571,0.9420081904971639
0.2,5,Eval_within_step_drift_T,3,19181.587754292083,18381.33467646423,-800.2530778278524,0.9582801440590449
0.2,6,Eval_within_step_drift_T,3,19326.681318611976,18837.888263024597,-488.79305558737906,0.9747088986707375
0.2,7,Eval_within_step_drift_T,3,19796.691263128803,18298.571606690017,-1498.1196564387865,0.9243247451543065
0.2,8,Eval_within_step_drift_T,3,20452.937369243304,19574.61744997245,-878.3199192708526,0.9570565389501632
0.2,9,Eval_within_step_drift_T,3,20516.30453223029,20727.416608781445,211.11207655115504,1.010289966022853
0.0,0,Mean_abs_delta_y_T,3,29.80246662235645,29.820543367638727,0.018076745282275652,1.0006065519848184
0.0,1,Mean_abs_delta_y_T,3,29.61519462324809,29.608467617787582,-0.006727005460508195,0.9997728529038526
0.0,2,Mean_abs_delta_y_T,3,29.792520314155013,29.797127785143232,0.00460747098821912,1.000154651937454
0.0,3,Mean_abs_delta_y_T,3,29.773860920810726,29.757830933996477,-0.016029986814249497,0.9994616087293186
0.0,4,Mean_abs_delta_y_T,3,29.80758435528601,29.78531434710352,-0.022270008182491807,0.9992528744390338
0.0,5,Mean_abs_delta_y_T,3,29.82049000518797,29.80550729767138,-0.01498270751659092,0.9994975700428134
0.0,6,Mean_abs_delta_y_T,3,29.81001959971837,29.81931311522627,0.00929351550789903,1.0003117581146437
0.0,7,Mean_abs_delta_y_T,3,29.81509522634104,29.8229545080333,0.00785928169225869,1.00026360075769
0.0,8,Mean_abs_delta_y_T,3,29.78905854021492,29.755696502087073,-0.03336203812784788,0.998880057317595
0.0,9,Mean_abs_delta_y_T,3,29.767189932583154,29.719954233288085,-0.047235699295068656,0.9984131622970778
0.05,0,Mean_abs_delta_y_T,3,67.97038640730813,62.736822866070604,-5.2335635412375225,0.9230022982380042
0.05,1,Mean_abs_delta_y_T,3,68.55087444564377,64.85980310927167,-3.6910713363721044,0.9461557366522162
0.05,2,Mean_abs_delta_y_T,3,68.60354962181879,66.68521230651218,-1.9183373153066015,0.9720373460865867
0.05,3,Mean_abs_delta_y_T,3,66.10733408437115,63.075425863700616,-3.0319082206705303,0.954136583139157
0.05,4,Mean_abs_delta_y_T,3,68.24695392947194,66.59023576081626,-1.6567181686556864,0.9757246576840957
0.05,5,Mean_abs_delta_y_T,3,68.8385091691263,67.45350367445684,-1.385005494669457,0.9798803676694
0.05,6,Mean_abs_delta_y_T,3,68.8490758590187,64.8984692347769,-3.9506066242418,0.9426193224099129
0.05,7,Mean_abs_delta_y_T,3,72.46603694133258,68.61169709446952,-3.8543398468630556,0.9468117754254525
0.05,8,Mean_abs_delta_y_T,3,70.75322380133596,68.106021583039,-2.647202218296968,0.962585419065428
0.05,9,Mean_abs_delta_y_T,3,71.68549821663555,69.54466655681804,-2.1408316598175077,0.9701357776248153
0.1,0,Mean_abs_delta_y_T,3,111.9808450736784,99.05824596097284,-12.922599112705555,0.8845999143496098
0.1,1,Mean_abs_delta_y_T,3,113.61433855885826,104.040334108346,-9.574004450512263,0.9157324280372198
0.1,2,Mean_abs_delta_y_T,3,114.09426454044677,108.24217921988864,-5.852085320558132,0.9487083303956655
0.1,3,Mean_abs_delta_y_T,3,108.496538023472,100.02743798625849,-8.469100037213508,0.9219412877913089
0.1,4,Mean_abs_delta_y_T,3,113.23452916453743,107.76688637237177,-5.4676427921656625,0.9517139972011469
0.1,5,Mean_abs_delta_y_T,3,115.31807296589652,110.63979411392029,-4.678278851976231,0.9594315207351778
0.1,6,Mean_abs_delta_y_T,3,114.60653897772814,104.72978048507949,-9.876758492648648,0.9138202882597473
