target,target_role,model_name,predictors,n,r2_in_sample,rmse_in_sample,intercept,coefficients
V_T,within_step_population_risk_shift,combined:task_ablation_channels,mu + A_rate_task_excess + A_rate_task_no_qty_excess + A_rate_task_no_cost_excess + A_rate_task_no_group_excess + A_rate_blind_excess,40,0.9977388338621178,269.62786312497525,1476.9021518362442,mu=224041.473; A_rate_task_excess=-657.5383672; A_rate_task_no_qty_excess=-11566.22454; A_rate_task_no_cost_excess=-198275.8309; A_rate_task_no_group_excess=-57209.87796; A_rate_blind_excess=-128443.0735
Delta_sam_T,same_time_sampling_gap,single_channel:blind,A_rate_blind_excess,40,0.09305603055091094,2358.087631391814,2711.0031375178205,A_rate_blind_excess=198773.255
Delta_sam_T,same_time_sampling_gap,single_channel:coarse,A_rate_coarse_excess,40,0.06416579584419924,2395.3510416692,2708.3608547887434,A_rate_coarse_excess=25978.26767
Delta_sam_T,same_time_sampling_gap,single_channel:task_no_qty,A_rate_task_no_qty_excess,40,0.0699363908809909,2387.954445588288,2685.6206906088073,A_rate_task_no_qty_excess=23964.86914
Delta_sam_T,same_time_sampling_gap,single_channel:task_no_cost,A_rate_task_no_cost_excess,40,0.0811752124706202,2373.4826590360103,2796.1079506999563,A_rate_task_no_cost_excess=17527.2997
Delta_sam_T,same_time_sampling_gap,single_channel:task_no_group,A_rate_task_no_group_excess,40,0.08491876616461191,2368.6426021232874,2706.58861049714,A_rate_task_no_group_excess=17005.0898
Delta_sam_T,same_time_sampling_gap,single_channel:task,A_rate_task_excess,40,0.07764918537527266,2378.0324658051873,2736.446431460556,A_rate_task_excess=16028.05129
Delta_sam_T,same_time_sampling_gap,mu_controlled:blind,mu + A_rate_blind_excess,40,0.09396763634294836,2356.902229172413,2659.561025027225,mu=-6035.609007; A_rate_blind_excess=314571.471
Delta_sam_T,same_time_sampling_gap,mu_controlled:coarse,mu + A_rate_coarse_excess,40,0.08884560356563709,2363.5549257542725,2954.853923457553,mu=12659.0018; A_rate_coarse_excess=-9289.172129
Delta_sam_T,same_time_sampling_gap,mu_controlled:task_no_qty,mu + A_rate_task_no_qty_excess,40,0.08802655446221741,2364.6170029946343,2913.584440951713,mu=11902.81095; A_rate_task_no_qty_excess=-5854.567032
Delta_sam_T,same_time_sampling_gap,mu_controlled:task_no_cost,mu + A_rate_task_no_cost_excess,40,0.09313690975044053,2357.9824846028932,3023.754018816513,mu=31540.92012; A_rate_task_no_cost_excess=-40030.59323
Delta_sam_T,same_time_sampling_gap,mu_controlled:task_no_group,mu + A_rate_task_no_group_excess,40,0.08744877153727126,2365.365938727451,2826.3507542868065,mu=9110.061572; A_rate_task_no_group_excess=1401.606297
Delta_sam_T,same_time_sampling_gap,mu_controlled:task,mu + A_rate_task_excess,40,0.09026915255114776,2361.707845035142,2999.4200096547925,mu=18487.11097; A_rate_task_excess=-15065.83304
Delta_sam_T,same_time_sampling_gap,blind_controlled:coarse,mu + A_rate_coarse_excess + A_rate_blind_excess,40,0.12250823840671421,2319.4832226435533,3020.1745670269693,mu=-29452.26533; A_rate_coarse_excess=-69011.59779; A_rate_blind_excess=1181356.154
Delta_sam_T,same_time_sampling_gap,blind_controlled:task_no_qty,mu + A_rate_task_no_qty_excess + A_rate_blind_excess,40,0.11493589661816317,2329.4697495980727,2959.6965555789384,mu=-23601.73307; A_rate_task_no_qty_excess=-56771.67708; A_rate_blind_excess=1044608.536
Delta_sam_T,same_time_sampling_gap,blind_controlled:task_no_cost,mu + A_rate_task_no_cost_excess + A_rate_blind_excess,40,0.16889371775491202,2257.345285368926,2943.3309191989465,mu=55743.73662; A_rate_task_no_cost_excess=-275179.2952; A_rate_blind_excess=2031571.329
Delta_sam_T,same_time_sampling_gap,blind_controlled:task_no_group,mu + A_rate_task_no_group_excess + A_rate_blind_excess,40,0.1084823203649864,2337.9471612760826,2906.2459747417743,mu=-3526.011764; A_rate_task_no_group_excess=-71534.2777; A_rate_blind_excess=1061285.537
Delta_sam_T,same_time_sampling_gap,blind_controlled:task,mu + A_rate_task_excess + A_rate_blind_excess,40,0.13385939576083328,2304.4320721678214,3066.245321910261,mu=-5221.950267; A_rate_task_excess=-95239.6787; A_rate_blind_excess=1370004.562
Delta_sam_T,same_time_sampling_gap,combined:task_coarse_blind,mu + A_rate_task_excess + A_rate_coarse_excess + A_rate_blind_excess,40,0.13587008473130646,2301.7557235798013,3036.8048604371556,mu=12025.9102; A_rate_task_excess=-148895.1998; A_rate_coarse_excess=49480.50229; A_rate_blind_excess=1343133.304
Delta_sam_T,same_time_sampling_gap,combined:task_ablation_channels,mu + A_rate_task_excess + A_rate_task_no_qty_excess + A_rate_task_no_cost_excess + A_rate_task_no_group_excess + A_rate_blind_excess,40,0.3148953277232118,2049.5011970315104,2874.6463244529805,mu=94062.03329; A_rate_task_excess=-875862.4032; A_rate_task_no_qty_excess=157065.1628; A_rate_task_no_cost_excess=-333757.5933; A_rate_task_no_group_excess=881188.364; A_rate_blind_excess=885205.1801
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:blind,A_rate_blind_excess,40,0.815357165091204,2423.492028865315,-301.45637500128214,A_rate_blind_excess=1340186.652
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:coarse,A_rate_coarse_excess,40,0.588504827995517,3617.9098241237557,-474.6807437679372,A_rate_coarse_excess=179200.4369
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:task_no_qty,A_rate_task_no_qty_excess,40,0.6276509489915914,3441.521535719096,-555.5410799514748,A_rate_task_no_qty_excess=163526.5231
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:task_no_cost,A_rate_task_no_cost_excess,40,0.8465354809942748,2209.4254749029,-285.58125011610446,A_rate_task_no_cost_excess=128923.3354
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:task_no_group,A_rate_task_no_group_excess,40,0.7994123691035057,2525.9656500671763,-577.3329388654374,A_rate_task_no_group_excess=118841.5146
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:task,A_rate_task_excess,40,0.7872584317500999,2601.3665054471894,-624.6387422698272,A_rate_task_excess=116245.6168
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:blind,mu + A_rate_blind_excess,40,0.97745521771362,846.834199515787,1261.0068696067792,mu=183320.9558; A_rate_blind_excess=-2176979.487
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:coarse,mu + A_rate_coarse_excess,40,0.9796447454196948,804.6622644931776,1760.4634712170928,mu=114789.0072; A_rate_coarse_excess=-140596.8478
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:task_no_qty,mu + A_rate_task_no_qty_excess,40,0.9791059572539955,815.2421118315054,1733.1388891236465,mu=119500.2493; A_rate_task_no_qty_excess=-135850.6637
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:task_no_cost,mu + A_rate_task_no_cost_excess,40,0.9888523529574913,595.4797134223221,1502.9543911450728,mu=247805.9922; A_rate_task_no_cost_excess=-323288.9246
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:task_no_group,mu + A_rate_task_no_group_excess,40,0.9818569219368523,759.6802755831782,1739.1544737037493,mu=176210.4643; A_rate_task_no_group_excess=-182967.3207
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:task,mu + A_rate_task_excess,40,0.9783204469767166,830.4252154693268,1706.0046844661229,mu=163844.8393; A_rate_task_excess=-159328.6733
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,blind_controlled:coarse,mu + A_rate_coarse_excess + A_rate_blind_excess,40,0.9855407177649084,678.1858642903452,1698.196208409924,mu=154931.8043; A_rate_coarse_excess=-83666.11703; A_rate_blind_excess=-1126134.252
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,blind_controlled:task_no_qty,mu + A_rate_task_no_qty_excess + A_rate_blind_excess,40,0.9854173298105177,681.0733590679043,1682.2724822169603,mu=158665.4144; A_rate_task_no_qty_excess=-79683.85243; A_rate_blind_excess=-1152310.695
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,blind_controlled:task_no_cost,mu + A_rate_task_no_cost_excess + A_rate_blind_excess,40,0.9900230769642897,563.3440048494749,1525.7264810598454,mu=240952.8777; A_rate_task_no_cost_excess=-256705.7239; A_rate_blind_excess=-575246.7289
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,blind_controlled:task_no_group,mu + A_rate_task_no_group_excess + A_rate_blind_excess,40,0.9850710856227309,689.11147135301,1668.016060824304,mu=187461.5779; A_rate_task_no_group_excess=-118025.4756; A_rate_blind_excess=-944964.7715
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,blind_controlled:task,mu + A_rate_task_excess + A_rate_blind_excess,40,0.9844509307831285,703.2788620097043,1648.9226583744166,mu=184097.0642; A_rate_task_excess=-90844.36102; A_rate_blind_excess=-1170254.706
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,combined:task_coarse_blind,mu + A_rate_task_excess + A_rate_coarse_excess + A_rate_blind_excess,40,0.9855408049818682,678.1838189122423,1698.292985554017,mu=155173.1794; A_rate_task_excess=-866.4701125; A_rate_coarse_excess=-82976.57255; A_rate_blind_excess=-1125192.818
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,combined:task_ablation_channels,mu + A_rate_task_excess + A_rate_task_no_qty_excess + A_rate_task_no_cost_excess + A_rate_task_no_group_excess + A_rate_blind_excess,40,0.9910930979118635,532.2782311832334,1654.8733576816903,mu=218796.3049; A_rate_task_excess=61768.41386; A_rate_task_no_qty_excess=-39473.74495; A_rate_task_no_cost_excess=-203956.4589; A_rate_task_no_group_excess=-69194.05264; A_rate_blind_excess=-359003.0546
