target,target_role,mu,channel,predictor,n_seeds,pearson,spearman,slope,intercept,r2_in_sample_within_mu,rmse_in_sample_within_mu
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,coarse,A_rate_coarse,10,0.3708986727256543,0.2606060606060606,1717916.331101506,-70503.70821382872,0.13756582542965023,2223.945883383979
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,task_no_qty,A_rate_task_no_qty,10,0.015127359916493398,0.01818181818181818,27605.411723484354,1888.7106682081924,0.0002288370180431043,2394.481794307976
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,task_no_cost,A_rate_task_no_cost,10,0.6268084770151638,0.38181818181818183,2803885.513904713,-186826.6176130083,0.3928888668580691,1865.9299468800277
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,task_no_group,A_rate_task_no_group,10,0.11413848755095628,0.23636363636363633,149706.85048203781,-8929.366016943019,0.013027594340419446,2379.105722870392
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,task,A_rate_task,10,-0.05168209739102285,-0.0303030303030303,-50307.42061927511,8422.10076342947,0.0026710391907351916,2391.555432543596
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,blind,A_rate_blind,10,0.7063417238122539,0.7575757575757575,7799415.109060673,-69533.73314170825,0.4989186307980671,2444.005980352344
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,coarse,A_rate_coarse,10,-0.029375059343948993,0.006060606060606061,-227058.24471038303,17676.72396052658,0.0008628941114605659,3451.124927038741
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,task_no_qty,A_rate_task_no_qty,10,0.48617282066903844,0.309090909090909,841741.2335933646,-56542.897713293736,0.23636401155728892,3017.111292240814
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,task_no_cost,A_rate_task_no_cost,10,-0.05217149649872261,-0.2606060606060606,-282961.4319009234,33046.626758360864,0.002721865046916294,3447.9128914599623
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,task_no_group,A_rate_task_no_group,10,0.6704498624716689,0.6242424242424242,1962655.8929713266,-213584.60246497428,0.44950301808827986,2561.684306489283
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,task,A_rate_task,10,0.34338500728907695,0.12727272727272726,936132.6095128154,-112802.38470728767,0.11791326323091988,3242.677682206283
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,blind,A_rate_blind,10,0.1388634107564711,0.06666666666666665,3004902.9560928633,-24661.055107923294,0.019283046846920393,5467.836963926185
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,coarse,A_rate_coarse,10,-0.453710946868567,-0.4787878787878787,-2570269.2364930217,195359.0620397554,0.2058536233083702,4920.327318220774
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,task_no_qty,A_rate_task_no_qty,10,-0.04618180708631889,-0.24848484848484845,-94524.23144286024,23937.836672965816,0.0021327593057579586,5515.439154028136
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,task_no_cost,A_rate_task_no_cost,10,-0.4325691627319151,-0.5757575757575757,-2661367.7847977383,397355.63794164313,0.18711608054658757,4978.035408542173
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,task_no_group,A_rate_task_no_group,10,-0.5173549118446386,-0.406060606060606,-2261531.1229889793,364372.27434524783,0.26765610480977264,4724.993854947252
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,task,A_rate_task,10,-0.19577039653793799,-0.2121212121212121,-659991.788303691,126609.24436045399,0.03832604816062135,5414.491067815749
Delta_sam_T,same_time_sampling_gap,0.0,blind,A_rate_blind,10,-0.4373994128319697,-0.4666666666666666,-3543384.9897591113,13757.405010871445,0.19131824634575179,1806.6315451416579
Delta_sam_T,same_time_sampling_gap,0.0,coarse,A_rate_coarse,10,0.5865225443035231,0.38181818181818183,2287019.978706603,-9663.013478667363,0.3440086949762782,1627.1583097857601
Delta_sam_T,same_time_sampling_gap,0.0,task_no_qty,A_rate_task_no_qty,10,0.3079164776153155,0.32121212121212117,504140.8616580377,-5734.292715650698,0.0948125571870232,1911.3931587993693
Delta_sam_T,same_time_sampling_gap,0.0,task_no_cost,A_rate_task_no_cost,10,0.6019097053000704,0.5272727272727272,1243773.5185245778,-40157.421594989384,0.3622952933344177,1604.3184505367901
Delta_sam_T,same_time_sampling_gap,0.0,task_no_group,A_rate_task_no_group,10,0.14071995101284657,0.11515151515151514,270444.07569550816,-7349.721530256615,0.01980210461305787,1989.0131290269435
Delta_sam_T,same_time_sampling_gap,0.0,task,A_rate_task,10,0.5308781050349284,0.4787878787878787,949481.6647020198,-44727.886898508,0.2818315624054759,1702.526671737084
Delta_sam_T,same_time_sampling_gap,0.05,blind,A_rate_blind,10,-0.006800769114648545,-0.11515151515151514,-76914.46474317848,3835.1496529836268,4.6250460550512074e-05,2341.44632227112
Delta_sam_T,same_time_sampling_gap,0.05,coarse,A_rate_coarse,10,-0.24742321072857837,-0.16363636363636364,-1120521.4649435144,51601.69379672089,0.061218245207238065,2268.697380828886
Delta_sam_T,same_time_sampling_gap,0.05,task_no_qty,A_rate_task_no_qty,10,0.17600259902514337,0.29696969696969694,314038.70877641754,-14795.600831503092,0.03097691486360521,2304.9489502031984
Delta_sam_T,same_time_sampling_gap,0.05,task_no_cost,A_rate_task_no_cost,10,0.29207227561568416,0.22424242424242422,1277464.2730154388,-83362.82588951128,0.08530621418332485,2239.402268022601
Delta_sam_T,same_time_sampling_gap,0.05,task_no_group,A_rate_task_no_group,10,-0.17352805008215766,-0.10303030303030303,-222542.14006867036,21794.799153393848,0.030111984165315686,2305.9773965154704
Delta_sam_T,same_time_sampling_gap,0.05,task,A_rate_task,10,-0.09470405530871485,0.0303030303030303,-90135.00969027016,12192.230339995524,0.008968858091916276,2330.976527827754
Delta_sam_T,same_time_sampling_gap,0.1,blind,A_rate_blind,10,-0.2714400063120474,-0.3696969696969697,-2080180.1445979734,23554.03134951312,0.07367967702668421,2306.2620259665428
Delta_sam_T,same_time_sampling_gap,0.1,coarse,A_rate_coarse,10,-0.07747209009080087,-0.07878787878787878,-415607.8211359056,27402.22955935682,0.006001924743037068,2389.025710852693
Delta_sam_T,same_time_sampling_gap,0.1,task_no_qty,A_rate_task_no_qty,10,-0.4631759247947565,-0.5878787878787878,-556562.3431060248,44269.05229636005,0.21453193730947795,2123.6958460524984
Delta_sam_T,same_time_sampling_gap,0.1,task_no_cost,A_rate_task_no_cost,10,0.31411988133727226,0.16363636363636364,1182413.2571466104,-114500.19872375276,0.0986712998513426,2274.93845520065
Delta_sam_T,same_time_sampling_gap,0.1,task_no_group,A_rate_task_no_group,10,-0.06534719995781531,-0.1515151515151515,-132765.35326389517,18511.178309841234,0.0042702565423266,2391.1057951772364
Delta_sam_T,same_time_sampling_gap,0.1,task,A_rate_task,10,-0.1646577721545111,-0.6,-311543.1416100868,42863.06552437619,0.02711218193088638,2363.5208329092816
Delta_sam_T,same_time_sampling_gap,0.2,blind,A_rate_blind,10,-0.15254402240738565,-0.22424242424242422,-1594008.2424048006,26081.064026182947,0.023269678772224633,2635.0192734305638
Delta_sam_T,same_time_sampling_gap,0.2,coarse,A_rate_coarse,10,0.0528800876622762,0.04242424242424241,144658.60501981777,-5270.315450076597,0.0027963036711700084,2662.492548291006
Delta_sam_T,same_time_sampling_gap,0.2,task_no_qty,A_rate_task_no_qty,10,0.28246494514156767,0.33333333333333326,279183.3641095267,-20530.926266172162,0.07978644523382894,2557.6480021399325
Delta_sam_T,same_time_sampling_gap,0.2,task_no_cost,A_rate_task_no_cost,10,0.24533464592570672,0.12727272727272726,728888.2826647268,-99763.84959881387,0.06018908849149207,2584.7390410390167
Delta_sam_T,same_time_sampling_gap,0.2,task_no_group,A_rate_task_no_group,10,0.7023509362504857,0.7454545454545454,1482589.4444454585,-223952.87845423265,0.49329683765193577,1897.8997496594036
Delta_sam_T,same_time_sampling_gap,0.2,task,A_rate_task,10,0.5540074334826294,0.6121212121212121,901903.0372262881,-147191.22254213013,0.3069242363540077,2219.661847252952
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.0,blind,A_rate_blind,10,0.12992650061837563,0.23636363636363633,132023.79466680912,1206.1647451227573,0.01688089556293626,249.86081892791174
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.0,coarse,A_rate_coarse,10,0.44773094175488093,0.2606060606060606,218986.16675018356,410.8379884705996,0.20046299620471253,225.32759193332276
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.0,task_no_qty,A_rate_task_no_qty,10,0.4526818610206234,0.3696969696969697,92966.47972072195,23.59822318677425,0.20492086729709513,224.69854949469382
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.0,task_no_cost,A_rate_task_no_cost,10,0.27933496208427677,0.2121212121212121,72401.83616720504,-893.5307121531173,0.07802802104262474,241.96578110869564
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.0,task_no_group,A_rate_task_no_group,10,0.3764449377039633,0.23636363636363633,90748.10870428376,-1820.0220518871783,0.1417107911229406,233.45969692011556
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.0,task,A_rate_task,10,0.28011239086971085,0.2727272727272727,62840.32364757387,-1539.1083653927058,0.07846295151874594,241.90870198428922
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.05,blind,A_rate_blind,10,-0.5111881716094183,-0.41818181818181815,-742758.4851941862,7760.282062410381,0.26131334679338003,258.5480162703219
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.05,coarse,A_rate_coarse,10,-0.4503989189446507,-0.3696969696969697,-262055.8843368535,14296.494051585672,0.20285918618651078,268.5830533502212
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.05,task_no_qty,A_rate_task_no_qty,10,-0.43824267384891563,-0.4787878787878787,-100460.56147380026,8812.92233880522,0.19205664118224708,270.3967962411582
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.05,task_no_cost,A_rate_task_no_cost,10,-0.4636849234307195,-0.5272727272727272,-260554.29606843353,20695.078243086522,0.2150037082169557,266.5292556946413
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.05,task_no_group,A_rate_task_no_group,10,-0.47634040921363,-0.2727272727272727,-78483.22368850991,9517.557325548853,0.22690018544980928,264.5019440843613
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.05,task,A_rate_task,10,-0.3585516946175501,-0.2727272727272727,-43842.32200042931,7314.5128437974645,0.12855931771311724,280.821270082653
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.1,blind,A_rate_blind,10,-0.10743010492934617,-0.1515151515151515,-186157.60615135278,6884.896312228584,0.011541227445130309,538.6851801207159
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.1,coarse,A_rate_coarse,10,0.1540385542119132,0.2121212121212121,186851.0610702046,-5525.526941342065,0.023727876183696983,535.3541727430905
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.1,task_no_qty,A_rate_task_no_qty,10,-0.15734973350096082,-0.17575757575757575,-42752.50326483482,8224.990306140076,0.024758938632823413,535.0713984076675
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.1,task_no_cost,A_rate_task_no_cost,10,0.5859790123103549,0.6121212121212121,498750.8200639878,-44763.469665946446,0.3433714028682201,439.05168088695495
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.1,task_no_group,A_rate_task_no_group,10,-0.09437809332404137,-0.11515151515151514,-43356.74468286603,9935.078279580317,0.008907224499481892,539.4024353026806
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.1,task,A_rate_task,10,0.34015071503763644,0.41818181818181815,145524.14084504775,-13161.989500627302,0.11570250894061485,509.51261845849166
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.2,blind,A_rate_blind,10,0.0484889402679633,0.10303030303030303,152370.46917754973,13862.015708441086,0.002351177328310472,800.8442316903602
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.2,coarse,A_rate_coarse,10,0.24742877818851108,0.43030303030303024,203547.16615455886,1634.2081097063074,0.061221000275859194,776.8566497818338
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.2,task_no_qty,A_rate_task_no_qty,10,-0.5530091358467829,-0.34545454545454546,-164369.0433534305,30840.10549028774,0.30581910433000514,668.0293340155803
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.2,task_no_cost,A_rate_task_no_cost,10,0.03125560968515006,0.3939393939393939,27924.97569905497,11882.01937175031,0.0009769131367908246,801.3956245133036
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.2,task_no_group,A_rate_task_no_group,10,-0.5340212924971247,-0.38181818181818183,-338990.9117955548,68208.28806388007,0.28517874084029915,677.8879822245125
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,0.2,task,A_rate_task,10,-0.8200972801595938,-0.7212121212121211,-401487.8180981942,83577.57227895569,0.6725595489251619,458.8020709510352
Mean_abs_delta_loss_T,direct_loss_motion,0.0,blind,A_rate_blind,10,0.08564155948187856,-0.18787878787878787,31076.85090555959,26135.284017359798,0.0073344767104857045,89.65913158210714
Mean_abs_delta_loss_T,direct_loss_motion,0.0,coarse,A_rate_coarse,10,0.21056960554069554,0.11515151515151514,36778.433215651545,26029.049777200595,0.04433955877757023,87.97208058882
Mean_abs_delta_loss_T,direct_loss_motion,0.0,task_no_qty,A_rate_task_no_qty,10,0.05689046709238132,0.09090909090909088,4172.254201454846,26159.44333305623,0.003236525245980837,89.84400772838704
Mean_abs_delta_loss_T,direct_loss_motion,0.0,task_no_cost,A_rate_task_no_cost,10,0.017931170712331922,0.06666666666666665,1659.7049795747303,26173.284210956885,0.00032152688311259947,89.97528457883985
Mean_abs_delta_loss_T,direct_loss_motion,0.0,task_no_group,A_rate_task_no_group,10,0.34862683668932926,0.38181818181818183,30011.997679711032,25095.824499135928,0.12154067126000256,84.34394074855248
Mean_abs_delta_loss_T,direct_loss_motion,0.0,task,A_rate_task,10,0.5109706748779335,0.6606060606060605,40935.49407764068,24178.29758185975,0.2610910305852001,77.35502450248343
Mean_abs_delta_loss_T,direct_loss_motion,0.05,blind,A_rate_blind,10,0.4923219717923146,0.4545454545454545,305131.0853163183,29720.734648031885,0.2423809239094703,111.68811063078248
Mean_abs_delta_loss_T,direct_loss_motion,0.05,coarse,A_rate_coarse,10,0.20378518728641132,0.2121212121212121,50575.43178280435,29493.88374264236,0.041528402557349686,125.62356608509673
Mean_abs_delta_loss_T,direct_loss_motion,0.05,task_no_qty,A_rate_task_no_qty,10,0.0810229661352991,0.05454545454545454,7922.449585199571,31214.456435592856,0.006564721041355304,127.89432759907821
Mean_abs_delta_loss_T,direct_loss_motion,0.05,task_no_cost,A_rate_task_no_cost,10,0.2394933007808137,0.2121212121212121,57403.58849778166,27775.86875351313,0.05735704111888873,124.5819452029319
Mean_abs_delta_loss_T,direct_loss_motion,0.05,task_no_group,A_rate_task_no_group,10,-0.2661034607464894,-0.29696969696969694,-18701.66788901328,33222.6588224561,0.07081105182126823,123.68969296426444
Mean_abs_delta_loss_T,direct_loss_motion,0.05,task,A_rate_task,10,-0.2840844541425179,-0.35757575757575755,-14816.978351825892,33126.70528032587,0.08070397708545685,123.0294788310764
Mean_abs_delta_loss_T,direct_loss_motion,0.1,blind,A_rate_blind,10,0.08938677741548785,-0.006060606060606061,40632.57163385014,40138.33661498911,0.007989995976734998,141.56634428811105
Mean_abs_delta_loss_T,direct_loss_motion,0.1,coarse,A_rate_coarse,10,-0.4622493846585388,-0.43030303030303024,-147091.88720890222,48899.25073672908,0.21367449361718016,126.03848463658079
Mean_abs_delta_loss_T,direct_loss_motion,0.1,task_no_qty,A_rate_task_no_qty,10,-0.6573615348670129,-0.7696969696969697,-46853.93479211038,43937.10592042654,0.43212418752272574,107.10966893306922
Mean_abs_delta_loss_T,direct_loss_motion,0.1,task_no_cost,A_rate_task_no_cost,10,-0.10478370246218935,-0.1515151515151515,-23395.99634942892,42864.945799840636,0.010979624301674762,141.35286352386166
Mean_abs_delta_loss_T,direct_loss_motion,0.1,task_no_group,A_rate_task_no_group,10,-0.06257345531765843,-0.01818181818181818,-7540.876858489121,41364.21602770676,0.00391543731039401,141.8567795061601
Mean_abs_delta_loss_T,direct_loss_motion,0.1,task,A_rate_task,10,-0.24557555607897918,-0.38181818181818183,-27561.00408804761,43986.244252443736,0.060307353743503156,137.78276805004694
Mean_abs_delta_loss_T,direct_loss_motion,0.2,blind,A_rate_blind,10,0.21696789552428225,0.10303030303030303,178948.3845379602,61235.54809082908,0.04707506768823533,205.42946872021855
Mean_abs_delta_loss_T,direct_loss_motion,0.2,coarse,A_rate_coarse,10,0.5453380890376309,0.5393939393939393,117748.36221500413,55370.78925986735,0.29739363135521946,176.39628687166015
Mean_abs_delta_loss_T,direct_loss_motion,0.2,task_no_qty,A_rate_task_no_qty,10,0.2026417858188824,0.22424242424242422,15808.509297751363,62179.91820252736,0.04106369335985993,206.07640949601975
Mean_abs_delta_loss_T,direct_loss_motion,0.2,task_no_cost,A_rate_task_no_cost,10,0.3788392875194192,0.3696969696969697,88837.03056792045,50865.993097607934,0.1435192057682101,194.75661265556144
Mean_abs_delta_loss_T,direct_loss_motion,0.2,task_no_group,A_rate_task_no_group,10,0.6028691804328065,0.6606060606060605,100444.6379243657,48115.691797145664,0.3634512487157203,167.89943444662114
Mean_abs_delta_loss_T,direct_loss_motion,0.2,task,A_rate_task,10,0.25723622238635785,0.309090909090909,33053.18523645728,58045.2704281932,0.06617047410759536,203.36077986518572
Mean_abs_delta_error_T,direct_error_motion,0.0,blind,A_rate_blind,10,0.20127173014913297,-0.05454545454545454,36.725852181171106,31.186045389821768,0.04051030935723854,0.04432511591275006
Mean_abs_delta_error_T,direct_error_motion,0.0,coarse,A_rate_coarse,10,0.22053752361677778,0.0303030303030303,19.369423681681482,31.192612594251123,0.04863679932303311,0.044137008857751694
Mean_abs_delta_error_T,direct_error_motion,0.0,task_no_qty,A_rate_task_no_qty,10,0.17679056524621126,0.05454545454545454,6.519690961070977,31.187454089578146,0.03125490396006536,0.044538386746038765
Mean_abs_delta_error_T,direct_error_motion,0.0,task_no_cost,A_rate_task_no_cost,10,0.24408763287265858,0.1515151515151515,11.360689550669349,30.905739010357873,0.05957877252136656,0.04388245694462586
Mean_abs_delta_error_T,direct_error_motion,0.0,task_no_group,A_rate_task_no_group,10,0.409223300334451,0.3696969696969697,17.71459008565412,30.62895081866025,0.16746370953660683,0.04128870963375412
Mean_abs_delta_error_T,direct_error_motion,0.0,task,A_rate_task,10,0.35387676640329335,0.38181818181818183,14.255838779390464,30.584061965385942,0.1252287658000938,0.04232305124675786
Mean_abs_delta_error_T,direct_error_motion,0.05,blind,A_rate_blind,10,0.13449718004418662,-0.09090909090909088,61.01196524861326,33.46626425105143,0.018089491439847616,0.09306407126137081
Mean_abs_delta_error_T,direct_error_motion,0.05,coarse,A_rate_coarse,10,0.3033643766919531,0.28484848484848485,55.10565484788547,31.483157314838916,0.09202994504569673,0.08949151421182323
Mean_abs_delta_error_T,direct_error_motion,0.05,task_no_qty,A_rate_task_no_qty,10,0.09863569656679408,0.04242424242424241,7.059111831595975,33.44870323066603,0.009729000637224816,0.09345942914539478
Mean_abs_delta_error_T,direct_error_motion,0.05,task_no_cost,A_rate_task_no_cost,10,0.3656806657355066,0.2606060606060606,64.15230597104343,29.50218936545217,0.13372234929274296,0.08741272290350938
Mean_abs_delta_error_T,direct_error_motion,0.05,task_no_group,A_rate_task_no_group,10,-0.40052365509809257,-0.43030303030303024,-20.60262645681016,35.56465239861292,0.16041919829311735,0.08605524458283677
Mean_abs_delta_error_T,direct_error_motion,0.05,task,A_rate_task,10,-0.4549170347984758,-0.5151515151515151,-17.366367112365612,35.561370401978195,0.2069495085498292,0.08363662762007795
Mean_abs_delta_error_T,direct_error_motion,0.1,blind,A_rate_blind,10,0.07117519898083088,0.33333333333333326,20.55989618135831,39.8245430517697,0.005065908949974274,0.09009285410223639
Mean_abs_delta_error_T,direct_error_motion,0.1,coarse,A_rate_coarse,10,-0.24905114462716665,0.05454545454545454,-50.36074179000461,42.88739063078749,0.062026472640127395,0.08747591220769374
Mean_abs_delta_error_T,direct_error_motion,0.1,task_no_qty,A_rate_task_no_qty,10,-0.3680752686911438,-0.0303030303030303,-16.67130575399393,41.23431961210467,0.13547940342207032,0.08398096517987458
Mean_abs_delta_error_T,direct_error_motion,0.1,task_no_cost,A_rate_task_no_cost,10,0.285549569089213,0.28484848484848485,40.51543556339712,35.96879719845166,0.08153855640704433,0.08656127688368294
Mean_abs_delta_error_T,direct_error_motion,0.1,task_no_group,A_rate_task_no_group,10,-0.22725235405283195,-0.04242424242424241,-17.403287714874832,41.95638431998437,0.0516436324225652,0.08795873435494155
Mean_abs_delta_error_T,direct_error_motion,0.1,task,A_rate_task,10,0.17954873879781946,0.2606060606060606,12.805114207637802,38.41238888066904,0.03223774960388648,0.08885411142699039
Mean_abs_delta_error_T,direct_error_motion,0.2,blind,A_rate_blind,10,0.21179624781322806,0.28484848484848485,109.23714475970458,53.885576305939,0.04485765058777236,0.12861369672893327
Mean_abs_delta_error_T,direct_error_motion,0.2,coarse,A_rate_coarse,10,0.2670948670539593,0.29696969696969694,36.06403848003771,52.813877757850925,0.07133966800656222,0.12681820973624966
Mean_abs_delta_error_T,direct_error_motion,0.2,task_no_qty,A_rate_task_no_qty,10,-0.38490510994952504,-0.3939393939393939,-18.777395955706357,57.04760116815209,0.14815194366524143,0.12146026910452505
