target,target_role,mu,channel,predictor,n_seeds,pearson,spearman,slope,intercept,r2_in_sample_within_mu,rmse_in_sample_within_mu,slope_ci95_low,slope_ci95_high,pearson_ci95_low,pearson_ci95_high,spearman_ci95_low,spearman_ci95_high
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,task_no_group,A_rate_task_no_group_excess,10,-0.03873834049552862,0.17575757575757575,-22499.23576645749,4414.12939966604,0.0015006590243475948,2383.4750374520886,-437597.243373241,327706.01384750084,-0.6175296423814034,0.5899693987653715,-0.6352771226415095,0.800033112582781
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,task,A_rate_task_excess,10,-0.09479041980457822,-0.04242424242424241,-60970.0036657711,6230.039723419381,0.008985223686728272,2374.525192342973,-531539.4916033602,322552.1620471122,-0.6721018784444807,0.5594311142258022,-0.7625,0.6582278481012659
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,null,A_rate_null_excess,10,0.0,0.0,0.0,4771.597408693185,0.0,3694.465108214844,,,,,,
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,coarse,A_rate_coarse_excess,10,0.24195106810717681,0.16363636363636364,593796.8735037689,-25145.3114916884,0.05854031935820381,3584.6968318786653,-1578722.4766878835,2668715.1771744965,-0.6008330227101376,0.8317675728541245,-0.6625524068322981,0.7012987012987012
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,task_no_qty,A_rate_task_no_qty_excess,10,0.12238429414953113,0.13939393939393938,212470.0880580038,-7006.901112841936,0.014977915454479018,3666.693030898713,-1325077.1376644645,1398427.0733203567,-0.6838951552082239,0.6423353979021946,-0.8064516129032259,0.6729559748427674
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,task_no_cost,A_rate_task_no_cost_excess,10,0.10410402466946024,0.2727272727272727,104487.86943483121,-2172.8735738949736,0.010837647952379625,3674.3909146797387,-778825.3345804163,1979021.7501451797,-0.6624379540678019,0.8808067387841227,-0.5384615384615384,0.9254658385093167
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,task_no_group,A_rate_task_no_group_excess,10,-0.13429558923704812,-0.13939393939393938,-136848.06021812334,15019.726193734332,0.018035305288525816,3660.9981217602062,-850907.9192282461,683788.2733594603,-0.6907448193141523,0.8182654169431239,-0.7106918238993711,0.6981132075471699
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.1,task,A_rate_task_excess,10,0.08438016190804538,0.2727272727272727,78953.29316737108,-1196.6558671383045,0.0071200117236278615,3681.289295893119,-520791.3062161304,1118565.5638941964,-0.5602251497003471,0.8023114833092031,-0.46249999999999997,0.8271604938271605
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,null,A_rate_null_excess,10,0.0,0.0,0.0,17322.669200961438,0.0,5699.162416330028,,,,,,
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,coarse,A_rate_coarse_excess,10,0.38253078814234287,0.4545454545454545,1103012.3821398343,-53859.48804000797,0.14632980387680172,5265.699767407147,-617071.132790492,4661947.158862979,-0.2569015074979108,0.9325593855907942,-0.31614506110999796,0.8749999999999999
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,task_no_qty,A_rate_task_no_qty_excess,10,0.21186882459771503,0.10303030303030303,403655.08641092706,-12441.184056378217,0.044888398836417154,5569.780673673459,-923124.2785791967,1971798.5867719462,-0.5371959475772328,0.8136862612379528,-0.6645962732919255,0.7961783439490446
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,task_no_cost,A_rate_task_no_cost_excess,10,-0.24590717292805434,-0.12727272727272726,-244110.63483414656,44519.21383051928,0.06047033769746779,5524.160418717336,-666156.6440275543,605932.1604653342,-0.7887655633187961,0.3418067616408463,-0.8113207547169812,0.5286624203821656
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,task_no_group,A_rate_task_no_group_excess,10,-0.34145052603388754,-0.33333333333333326,-415502.49326694745,66100.30221762857,0.11658846172881843,5356.641324924791,-883301.9973836407,327546.64006749116,-0.7746036082471642,0.1760754857061761,-0.8113207547169812,0.3207547169811321
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.2,task,A_rate_task_excess,10,-0.26189203608748307,-0.33333333333333326,-300835.53227544803,53211.29963398207,0.06858743856604776,5500.245560388331,-785800.6636688146,513636.7562762054,-0.7136597438297599,0.29436971937851186,-0.8260869565217391,0.30817610062893086
