round,mu,seed,delta_rep,v_t,observable_fr_step,channel,channel_label,observable_fr_step_z_within_channel
7,0.0,2,1413.0297503535985,1866.4213839132572,0.003045194661094914,blind,Weak blind,-0.8529126738273106
8,0.0,2,1121.3590509177302,1184.89511502604,0.003243935450963191,blind,Weak blind,-0.8191143241394493
9,0.0,2,2396.9354133732268,2193.1417972640484,0.0057736704790108525,blind,Weak blind,-0.3889013358935254
10,0.0,2,973.9201841524919,2019.7159168109647,0.0021239459557491178,blind,Weak blind,-1.009582504481621
11,0.0,2,2390.304161881504,1286.753375538974,0.0026960003195428627,blind,Weak blind,-0.9122975261901349
12,0.0,2,1000.1929883282282,1241.7858614308643,0.0033205089869166485,blind,Weak blind,-0.8060920394504011
13,0.0,2,596.4639072483405,1487.8294050110853,0.001226151104771146,blind,Weak blind,-1.1622637147224903
14,0.0,2,1515.7099558329792,1744.9352547771414,0.0045612198538876065,blind,Weak blind,-0.5950936844010556
15,0.0,2,1607.078535759123,1613.5170430380385,0.0015829630472004778,blind,Weak blind,-1.1015833943361992
16,0.0,2,793.1871216550935,1032.7078001888003,0.004695739140502037,blind,Weak blind,-0.5722170022072817
17,0.0,2,1930.5375011810102,1400.4704726567725,0.0027869202679541285,blind,Weak blind,-0.8968354551575957
18,0.0,2,2818.860144956736,1456.012847842183,0.0021239762490897966,blind,Weak blind,-1.0095773527212692
0,0.0,3,2042.4497558940784,1491.639023684198,0.0012265117595068712,blind,Weak blind,-1.162202380887183
1,0.0,3,420.5050495391479,989.6573590316111,0.005056527315038009,blind,Weak blind,-0.5108604739661793
2,0.0,3,509.43766935914755,1496.1859140096349,0.004449773816123099,blind,Weak blind,-0.6140464728959988
3,0.0,3,1250.522825463675,1927.3552561536198,0.0038774029390979572,blind,Weak blind,-0.71138527820952
4,0.0,3,1784.6456041452475,1688.411985191342,0.0020642269227793076,blind,Weak blind,-1.0197384707564472
5,0.0,3,833.2143803890795,1736.5654001784278,0.0029620247665322792,blind,Weak blind,-0.8670567515568678
6,0.0,3,1981.8374143371475,1619.4182541503105,0.00704339015713989,blind,Weak blind,-0.17296967075620168
7,0.0,3,2289.950420524867,901.0054597775452,0.0024011881445701057,blind,Weak blind,-0.9624340129605274
8,0.0,3,577.8963016371126,1312.9312984521384,0.0015829070775951488,blind,Weak blind,-1.101592912665547
9,0.0,3,717.5523659592727,1983.061617110623,0.001502119479484933,blind,Weak blind,-1.115331851175257
10,0.0,3,3228.551554543141,2466.1945245948737,0.005250616004541362,blind,Weak blind,-0.47785327195877614
11,0.0,3,1215.994656326482,218.51711321651237,0.002875556714456271,blind,Weak blind,-0.8817617221008115
12,0.0,3,3206.768818167562,1937.4812674759305,0.002787494815763925,blind,Weak blind,-0.8967377461377173
13,0.0,3,2224.856654913805,2417.038064952765,0.004669746840958015,blind,Weak blind,-0.5766373168782798
14,0.0,3,961.1245566843427,978.7699930969975,0.005460742999904118,blind,Weak blind,-0.4421185560364074
15,0.0,3,1044.4334279960021,695.3469263896695,0.003941399552933273,blind,Weak blind,-0.7005018559655076
16,0.0,3,1831.3525622792658,1088.866663730878,0.004306053137984748,blind,Weak blind,-0.6384879664631526
17,0.0,3,731.4499787535169,1097.1168808952207,0.0026494291380755436,blind,Weak blind,-0.9202175363584177
18,0.0,3,3466.4195669447654,1949.7772244887892,0.00274183668391226,blind,Weak blind,-0.9045024808327935
0,0.0,4,1592.5924981982098,670.642311105039,0.002503240032201756,blind,Weak blind,-0.9450788168441846
1,0.0,4,2926.287802584935,1957.3517122149933,0.0022385021295817068,blind,Weak blind,-0.9901007985637594
2,0.0,4,866.6703037394909,1085.8197031805757,0.0030040286593520198,blind,Weak blind,-0.8599134657788754
3,0.0,4,442.0706140184193,2156.2392882053973,0.002601378777015378,blind,Weak blind,-0.9283890994623778
4,0.0,4,1663.2501476939651,852.4549751881277,0.004879172645732004,blind,Weak blind,-0.5410218471596355
