round,mu,seed,empirical_loss,preq_target,v_t,fr_step_null,fr_step_coarse,fr_step_task_no_qty,fr_step_task_no_cost,fr_step_task_no_group,fr_step_task
14,0.0,2,363427.3259508793,337697.86359010707,1011.9315025755786,0.0,0.012376104117126172,0.021064041451795676,0.025430942678547844,0.030409617683971688,0.03897533314969011
15,0.0,2,324285.4129926309,338836.60931661667,1329.5454567825072,0.0,0.0025266668573152933,0.009316096162133648,0.017870643430524955,0.021773025523948747,0.029870973615812542
16,0.0,2,358292.78429636854,339844.92510382424,780.2161072383751,0.0,0.004507474770189213,0.014464431206384238,0.022075788423438616,0.026910896730193506,0.04100994025866617
17,0.0,2,323312.90657493426,341221.4150292319,1568.1081031449721,0.0,0.005276644848893527,0.013629550479600353,0.02599602907383378,0.02900607965368822,0.03986281725949852
18,0.0,2,342892.64508301934,342142.3539897232,801.7219984914409,0.0,0.007278600479810733,0.01989352880730381,0.025490116826889314,0.026920876660516707,0.038377326399697494
0,0.0,3,331140.863545921,314920.0605950224,1093.7393818246783,0.0,0.004693469436164258,0.023098674789191538,0.18582160280536605,0.18204364769930284,0.18924019916185475
1,0.0,3,332354.2601470843,316051.7564608789,1160.1260340423905,0.0,0.008915721921179428,0.016677301945352784,0.03268293895384473,0.03766220945546972,0.050364841967077606
2,0.0,3,300514.44711645955,317483.4776750674,1518.9975274532917,0.0,0.0027406913685589958,0.010494434402482456,0.039520380057688154,0.03433535794290884,0.04663712642128943
3,0.0,3,309776.09133550554,319476.2362553435,1826.766828781343,0.0,0.007282868154655902,0.025973090834486626,0.026951938304092836,0.0361514259569151,0.04948645033403281
4,0.0,3,326913.465537405,321344.7770855786,1960.3500149343163,0.0,0.004198335048070449,0.023018388344700543,0.028985755163750095,0.03138030521625649,0.043429917528994055
5,0.0,3,337689.76601073786,323012.9058957492,1593.870333510742,0.0,0.010493591861933537,0.029174981512620612,0.02728336056431167,0.03387525202095697,0.04609649698804041
6,0.0,3,324557.30196258944,325082.3886237438,2103.8901848595706,0.0,0.002854046390876279,0.022859689266134384,0.028807592178339496,0.03844173189268143,0.04945661259991581
7,0.0,3,325381.28306807455,325455.6538224817,433.53075982053997,0.0,0.002960588493270207,0.016190508934341447,0.02260610412766856,0.02169852558978497,0.037898306438466076
8,0.0,3,323421.5257496189,327071.9578796826,1599.009389212879,0.0,0.003142367486806606,0.011147086593227962,0.02226011957951074,0.03068567267380585,0.04941143520131725
9,0.0,3,328467.208071019,329008.4451911877,1931.6730236667208,0.0,0.004646530301843202,0.017745868174642274,0.020229756175393708,0.034058939936319824,0.04481295860370685
10,0.0,3,305645.4051031625,330181.2959721232,1161.8793242189568,0.0,0.0027119797372733142,0.013830703729782085,0.024848278955069754,0.020043052418674937,0.03736384475628594
11,0.0,3,352628.7719955003,331241.8538807733,1064.6964542855276,0.0,0.00457954501643826,0.016566975467441108,0.022597215922829338,0.029185916398779863,0.037800707532073936
12,0.0,3,310022.60284770606,332628.3498006695,1384.8676881642896,0.0,0.006333945975161137,0.017274307467800832,0.023364628316862014,0.033353850050338744,0.03921528328246798
13,0.0,3,307369.3895685299,334080.48546779464,1343.6773252963903,0.0,0.0025127608371813153,0.015894700017730665,0.024632512939757604,0.0261229575649936,0.03696059890986506
14,0.0,3,330494.96968025103,335259.3000298247,1235.0069994571968,0.0,0.0059413085630733034,0.019758123403563213,0.02548141426282114,0.02814512038711464,0.040587131797816596
15,0.0,3,321616.7464882129,337462.6885663186,2432.9464199782815,0.0,0.004004277466577337,0.01690407017999088,0.025616194386906405,0.032828048859617355,0.045591630105800314
16,0.0,3,368805.1718045733,339638.5783648962,1872.3737490598578,0.0,0.006923418898018218,0.02043722030865448,0.01963755208866283,0.03736097328828406,0.042304027520214095
17,0.0,3,344932.8444198591,339797.5140220582,346.3383169687586,0.0,0.0073663471946747786,0.013048556686989883,0.020414018665064818,0.02933420601797225,0.03557266829813425
18,0.0,3,348229.79243210115,340846.0495827567,1016.1360213041189,0.0,0.002405821784916977,0.007449174946365785,0.02119204825669028,0.02428033284825928,0.03249205450588675
0,0.0,4,322121.9780172656,314969.29326636303,1141.972747979511,0.0,0.009972765609108827,0.035089870305931116,0.18192272269010643,0.18349986282945163,0.1884837840872838
1,0.0,4,319956.37056706153,315908.3622126998,867.4725295786047,0.0,0.003239529619363348,0.01663659170435541,0.02790284226442501,0.03361842275379194,0.04618393556849342
2,0.0,4,327191.36367434013,316730.11190445645,907.4067863834789,0.0,0.003376657675822869,0.009510939339443634,0.027716268754588557,0.030210445890662276,0.04629751912076936
3,0.0,4,318757.44643852103,318255.52701339585,1506.623731505766,0.0,0.0030614977093418156,0.030072694977599516,0.02930713304726787,0.03764718862546023,0.048491401520301396
4,0.0,4,339349.5290497711,319093.7327536711,872.8950242022984,0.0,0.005023904345196562,0.016730337513058982,0.028620928724024382,0.025713054552363532,0.03598137112345985
5,0.0,4,311644.6217636324,321034.0139955173,2030.3801060024998,0.0,0.002715803666360728,0.01519346196107422,0.03022510335514688,0.029899620821102722,0.03955085834508844
6,0.0,4,342193.0127698385,322244.5187798893,1179.3737809740123,0.0,0.00863519234265364,0.017762094918001507,0.0240967555563445,0.029205857216247872,0.03773443553630229
7,0.0,4,312470.24167806446,323940.6933212482,1698.2551781521179,0.0,0.0030712039877265973,0.020339906376965818,0.02356532193271413,0.024987484935584663,0.034917099592592586
8,0.0,4,318187.40731952176,326016.02854686737,2093.6634930570144,0.0,0.004338368699866129,0.013896706008079737,0.028686820177019474,0.03135631383513726,0.044567684365144036
9,0.0,4,327378.93942765426,328150.43674667977,2006.3025542109972,0.0,0.006640498768984479,0.01701360004385914,0.030963526253698248,0.02780643769744702,0.041827098790459524
10,0.0,4,317573.0509353975,329879.67859548394,1699.1626221819897,0.0,0.0062323776526426325,0.014130912901172632,0.03230852142533694,0.038644449485020105,0.05104796879467107
11,0.0,4,346394.09921061085,330807.81599195406,1048.2882981943549,0.0,0.007110716784454961,0.016114335604521655,0.019386631079256148,0.02776396833682322,0.034773551197099184
12,0.0,4,337804.9974628427,332535.7166760299,1710.5770620647818,0.0,0.004742130444217395,0.017316433891847935,0.020666527645672072,0.03102254507918029,0.04339415990016956
13,0.0,4,322066.4085287184,333905.7603029822,1417.1431535885786,0.0,0.004823684067738157,0.027957353909379756,0.02660331460509377,0.03422527092559916,0.04789853253957398
14,0.0,4,326761.50386036775,334582.5828327683,623.5824635035242,0.0,0.00039704824301605807,0.009272304942652328,0.021375098273609717,0.023091621185882656,0.040043310862917875
15,0.0,4,332834.8965702461,336293.10831149324,1845.5837286742171,0.0,0.003796665560221791,0.01005963325409268,0.026264560120167525,0.028746019088776064,0.038252517130924875
16,0.0,4,354725.32216449763,337159.93930901965,735.3959528694977,0.0,0.007343701455385746,0.01401310641438902,0.024650398468553106,0.0289890808775647,0.03989058450914622
17,0.0,4,340015.48093341535,338881.995356823,1821.2695940666017,0.0,0.010806410539782268,0.014768304717742363,0.02530465733252871,0.027181018891118312,0.038316973305102656
18,0.0,4,335283.6526848439,339805.19465205586,834.3197005114052,0.0,0.0006775275531776381,0.007981262673453109,0.020943652092410222,0.02228595816349607,0.03878154747238959
0,0.0,5,315293.5416472969,314850.7753729805,1019.277973039716,0.0,0.005415449084267463,0.02968241379085401,0.19492224314490217,0.19475793255842394,0.20129629714830494
1,0.0,5,291793.7028221158,316488.9013478694,1705.9926431401982,0.0,0.009386863795250167,0.01944241427621791,0.03219395822038218,0.030404974585139067,0.045335033159318194
2,0.0,5,320737.86830864084,317997.72035662556,1533.3079599268967,0.0,0.005112868469617971,0.014185287504775677,0.0303886238113897,0.029641485840636035,0.041323174633426295
3,0.0,5,273163.19423419324,319672.2130408813,1525.9639859956224,0.0,0.007020077364606425,0.019619235650403945,0.037259381078057895,0.037951123433202914,0.05270507395909548
4,0.0,5,312949.97994541307,321519.8893674917,1994.0319802872837,0.0,0.0033746232283714205,0.016188831452835596,0.020023200571874185,0.028918651733212175,0.0405964583465616
5,0.0,5,316227.2462994631,323588.60226906807,2025.8680794951506,0.0,0.009101090351981643,0.017826619441892348,0.028532259590798744,0.03588637895968042,0.04658394569428947
6,0.0,5,320222.7071902704,325634.49602231296,1998.2102818462881,0.0,0.0025118440968641687,0.01612355250351761,0.025051564836867154,0.03584649406855477,0.04483203776227064
7,0.0,5,330131.3401190939,326993.04813996225,1368.8502600156353,0.0,0.005197588025740696,0.01560318986865822,0.019612889946225086,0.01988415851927351,0.033711101200857595
8,0.0,5,324735.9250368124,328320.60266316537,1428.5236328376923,0.0,0.006000566230133055,0.027038852437727714,0.027760945461549644,0.03494026780496844,0.04348501753507421
9,0.0,5,318348.33123847906,329130.9903772042,790.331392294087,0.0,0.016963106008957295,0.022248176627269575,0.03198156631154038,0.030492054315904304,0.04141939917887108
10,0.0,5,325896.4268350307,330375.9176535834,1290.0080188000575,0.0,0.006180968524066093,0.018520492372194462,0.021950992223730436,0.023695424784566595,0.040896711622859044
11,0.0,5,358277.0580290928,332243.6222131906,1746.524873331131,0.0,0.007237971093958862,0.015895193659448026,0.026514242050685907,0.031707317991982904,0.04039439776711106
12,0.0,5,335730.718489624,334562.10500454734,2333.7011892184964,0.0,0.004307167100384173,0.01902129381148837,0.029914041872126672,0.029313965976945522,0.0456411353719397
13,0.0,5,336590.7854977234,335706.2511869196,1169.9214385800879,0.0,0.0037041521741043183,0.030225501227606335,0.019449366773022076,0.03003476768293784,0.03961459370814072
14,0.0,5,304112.572888197,337704.9961175304,2058.0843832275714,0.0,0.004068475344147932,0.018956764852223498,0.017442957415890928,0.019018914167861885,0.03271234198692384
