mu,target,target_role,channel,predictor,n_steps,pearson,spearman,slope
0.2,eval_within_step_drift,diagnostic_heldout_step_shift,task_no_group,fr_step_task_no_group,190,0.04180193374260577,-0.3578851141816146,4431.822144236038
0.2,eval_within_step_drift,diagnostic_heldout_step_shift,task_no_qty,fr_step_task_no_qty,190,0.1403301827842445,-0.3796970611520075,15107.817871394462
0.2,mean_abs_delta_y,target_motion,blind,fr_step_blind,190,0.9510931033197341,0.9058221469905131,5442.140682022861
0.2,mean_abs_delta_y,target_motion,coarse,fr_step_coarse,190,0.970178307366424,0.9540299264741261,554.3900675952252
0.2,mean_abs_delta_y,target_motion,task,fr_step_task,190,0.908968148154151,0.8326304417238559,538.8188988133171
0.2,mean_abs_delta_y,target_motion,task_no_cost,fr_step_task_no_cost,190,0.9081396570439529,0.8600620224207991,507.51487570175567
0.2,mean_abs_delta_y,target_motion,task_no_group,fr_step_task_no_group,190,0.9089204332088483,0.8301967834070344,532.1559440865793
0.2,mean_abs_delta_y,target_motion,task_no_qty,fr_step_task_no_qty,190,0.9547615943581805,0.8155458454163333,567.6396072337093
0.2,mean_abs_delta_pred,prediction_motion,blind,fr_step_blind,190,0.8960501901210383,0.7272273178583458,2435.887458647073
0.2,mean_abs_delta_pred,prediction_motion,coarse,fr_step_coarse,190,0.9113805502549688,0.7438517760369511,247.4239799118573
0.2,mean_abs_delta_pred,prediction_motion,task,fr_step_task,190,0.8485880444442031,0.6715943436252062,238.9842141392563
0.2,mean_abs_delta_pred,prediction_motion,task_no_cost,fr_step_task_no_cost,190,0.8497438175616285,0.6550381188573529,225.61205431733708
0.2,mean_abs_delta_pred,prediction_motion,task_no_group,fr_step_task_no_group,190,0.8512602375637947,0.6735048791262624,236.78465266393187
0.2,mean_abs_delta_pred,prediction_motion,task_no_qty,fr_step_task_no_qty,190,0.8901886661129589,0.7607054284926978,251.44208059513988
0.2,mean_abs_delta_error,error_motion,blind,fr_step_blind,190,0.9226725304104677,0.882729511387544,2361.3374062055486
0.2,mean_abs_delta_error,error_motion,coarse,fr_step_coarse,190,0.9233928388900552,0.9434327529119484,236.00114346196034
0.2,mean_abs_delta_error,error_motion,task,fr_step_task,190,0.865772425632325,0.7969111259824956,229.5417184060368
0.2,mean_abs_delta_error,error_motion,task_no_cost,fr_step_task_no_cost,190,0.872784998324448,0.8234784168099131,218.1559849727172
0.2,mean_abs_delta_error,error_motion,task_no_group,fr_step_task_no_group,190,0.868899867891373,0.8075397918880973,227.534106961604
0.2,mean_abs_delta_error,error_motion,task_no_qty,fr_step_task_no_qty,190,0.8949723093164691,0.82430946476138,237.98581509055902
